Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[1/2],4.789,7.680,0.8117,0.9109),0.286,0.451
[0/2],10.795,10.795,0.9294,0.9294),0.440,0.440
[1/2],4.064,7.430,0.8817,0.9153),0.429,0.437
[0/2],11.385,11.385,0.9837,0.9837),0.400,0.400
[1/2],4.436,7.910,0.8563,0.9460),0.619,0.465
[0/2],10.760,10.760,0.9763,0.9763),0.460,0.460
[1/2],4.672,7.716,0.8182,0.9295),0.333,0.423
[0/2],11.088,11.088,0.9909,0.9909),0.380,0.380
[1/2],4.216,7.652,0.8057,0.9361),0.619,0.451
[0/2],11.391,11.391,0.8936,0.8936),0.400,0.400
[1/2],4.527,7.959,0.9799,0.9191),0.571,0.451
[0/2],10.212,10.212,0.9346,0.9346),0.440,0.440
[1/2],4.710,7.461,0.9068,0.9264),0.524,0.465
[0/2],10.434,10.434,0.9593,0.9593),0.420,0.420
[1/2],4.567,7.501,0.8003,0.9123),0.524,0.451
[0/2],11.167,11.167,0.8867,0.8867),0.420,0.420
[1/2],4.427,7.797,0.9587,0.9080),0.524,0.451
[0/2],11.482,11.482,0.8964,0.8964),0.400,0.400
[1/2],4.348,7.915,0.9432,0.9102),0.476,0.423
[0/2],10.958,10.958,1.0047,1.0047),0.360,0.360
[1/2],4.534,7.746,0.7139,0.9186),0.619,0.437
[0/2],11.387,11.387,0.9550,0.9550),0.440,0.440
[1/2],4.047,7.717,0.7731,0.9012),0.571,0.479
[0/2],10.611,10.611,0.9358,0.9358),0.500,0.500
[1/2],4.854,7.732,0.8979,0.9246),0.476,0.493
[0/2],11.109,11.109,0.8934,0.8934),0.440,0.440
[1/2],4.406,7.757,1.0364,0.9357),0.524,0.465
[0/2],10.453,10.453,0.8913,0.8913),0.500,0.500
[1/2],4.599,7.526,1.0670,0.9433),0.381,0.465
[0/2],10.625,10.625,0.9139,0.9139),0.480,0.480
[1/2],4.294,7.460,0.9510,0.9249),0.429,0.465
[0/2],10.438,10.438,0.8993,0.8993),0.560,0.560
[1/2],5.107,7.772,0.8812,0.8940),0.333,0.493
[0/2],11.034,11.034,0.9039,0.9039),0.480,0.480
[1/2],4.330,7.682,1.2490,1.0060),0.476,0.479
[0/2],10.681,10.681,1.0714,1.0714),0.300,0.300
[1/2],4.378,7.529,0.8110,0.9944),0.667,0.408
[0/2],10.513,10.513,0.9435,0.9435),0.400,0.400
[1/2],4.046,7.279,0.9984,0.9597),0.381,0.394
[0/2],10.937,10.937,1.0178,1.0178),0.320,0.320
[1/2],4.274,7.606,0.7542,0.9399),0.619,0.408
[0/2],11.366,11.366,1.0120,1.0120),0.500,0.500
[1/2],4.301,7.833,0.8731,0.9709),0.476,0.493
[0/2],11.880,11.880,1.0154,1.0154),0.480,0.480
[1/2],3.824,7.852,0.9644,1.0003),0.429,0.465
[0/2],10.982,10.982,0.9494,0.9494),0.480,0.480
[1/2],4.131,7.557,0.8837,0.9300),0.429,0.465
[0/2],13.556,13.556,1.0390,1.0390),0.520,0.520
[1/2],6.262,9.909,1.3853,1.1414),0.524,0.521
[0/2],13.795,13.795,1.1026,1.1026),0.440,0.440
[1/2],5.831,9.813,0.9822,1.0670),0.429,0.437
